Variables censo económico 2019
Producción bruta total (millones de pesos)
Inversión total (millones de pesos) 
Total de gastos (millones de pesos) 
Total de ingresos (millones de pesos)
Horas trabajadas por personal dependiente de la razón social (miles de horas) 
Personal ocupado total
Horas trabajadas por personal remunerado (miles de horas) 
Total de remuneraciones (millones de pesos)
Contribuciones patronales a regímenes de seguridad social (millones de pesos) 
Utilidades repartidas a los trabajadores (millones de pesos)
Gastos por consumo de papelería y artículos de oficina (millones de pesos) 
