mun_inegi,anio,nom_ent,nom_mun,prop_corrup_inc19,prop_corrup5_inc19
15070,2019,México,La Paz,22.22222222222222,7.582957458023346
15076,2019,México,San Mateo Atenco,0,0
15081,2019,México,Tecámac,5.769230769230769,6.534901175881911
15091,2019,México,Teoloyucan,0,0
15092,2019,México,Teotihuacán,7.6923076923076925,0
15099,2019,México,Texcoco,33.33333333333333,17.87335828663817
15100,2019,México,Tezoyuca,20,61.539344325006695
15104,2019,México,Tlalnepantla de Baz,14.457831325301203,0
15106,2019,México,Toluca,16,13.21545993169184
15108,2019,México,Tultepec,11.11111111111111,40.622993759790454
15109,2019,México,Tultitlán,12.121212121212121,10.118295792108157
15118,2019,México,Zinacantepec,8.333333333333332,4.798433457890199
15120,2019,México,Zumpango,0,0
15121,2019,México,Cuautitlán Izcalli,7.017543859649122,12.526711477193256
15122,2019,México,Valle de Chalco Solidaridad,9.75609756097561,14.133204927948137
16043,2019,Michoacán de Ocampo,Jacona,4.444444444444445,0
16053,2019,Michoacán de Ocampo,Morelia,8.90909090909091,13.704357079739912
16088,2019,Michoacán de Ocampo,Tarímbaro,0,0
16102,2019,Michoacán de Ocampo,Uruapan,8.444444444444445,10.827798332813266
16108,2019,Michoacán de Ocampo,Zamora,2.272727272727273,8.56136459998043
17004,2019,Morelos,Ayala,17.647058823529413,0
17006,2019,Morelos,Cuautla,11.881188118811881,15.07186964869493
17007,2019,Morelos,Cuernavaca,10.991379310344827,12.068917371757282
17008,2019,Morelos,Emiliano Zapata,15.18987341772152,22.843608597285066
17011,2019,Morelos,Jiutepec,15.937499999999998,24.75239981715679
17018,2019,Morelos,Temixco,14.17910447761194,10.541186698543795
17020,2019,Morelos,Tepoztlán,33.33333333333333,41.70096021947874
17028,2019,Morelos,Xochitepec,0,6.3929186132284235
17029,2019,Morelos,Yautepec,14.285714285714285,24.468864468864467
17030,2019,Morelos,Yecapixtla,18.75,40.124473732381475
18008,2019,Nayarit,Xalisco,10.465116279069768,0
18017,2019,Nayarit,Tepic,11.923509561304838,12.091963618024035
19006,2019,Nuevo León,Apodaca,10.382513661202186,4.187346972247062
19018,2019,Nuevo León,García,0,10.210711965097929
19019,2019,Nuevo León,San Pedro Garza García,3.0303030303030303,0
19021,2019,Nuevo León,General Escobedo,10.56338028169014,5.421115929880827
19026,2019,Nuevo León,Guadalupe,7.083333333333333,2.3419037587255156
19031,2019,Nuevo León,Juárez,4.878048780487805,1.2280038263887345
19039,2019,Nuevo León,Monterrey,4.081632653061225,9.695392622072555
19046,2019,Nuevo León,San Nicolás de los Garza,9.67741935483871,6.76853019212314
19048,2019,Nuevo León,Santa Catarina,1.6260162601626018,0
19049,2019,Nuevo León,Santiago,4,0
20067,2019,Oaxaca,Oaxaca de Juárez,13.216957605985039,19.244692803066464
20083,2019,Oaxaca,San Agustín de las Juntas,0,0
20087,2019,Oaxaca,San Agustín Yatareni,16.666666666666664,0
20091,2019,Oaxaca,San Andrés Huayápam,25,0
20107,2019,Oaxaca,San Antonio de la Cal,12.5,8.681530898876405
20157,2019,Oaxaca,San Jacinto Amilpas,7.142857142857142,0
20184,2019,Oaxaca,San Juan Bautista Tuxtepec,13.286713286713287,18.787545643723742
20227,2019,Oaxaca,San Lorenzo Cacaotepec,0,50
20293,2019,Oaxaca,San Pablo Etla,11.11111111111111,23.679225426226058
20350,2019,Oaxaca,San Sebastián Tutla,21.052631578947366,23.05959805959806
20375,2019,Oaxaca,Santa Cruz Amilpas,22.22222222222222,12.815405046480743
20385,2019,Oaxaca,Santa Cruz Xoxocotlán,5.1020408163265305,1.618597215746353
20390,2019,Oaxaca,Santa Lucía del Camino,12.857142857142856,14.045854562297361
20399,2019,Oaxaca,Santa María Atzompa,15,18.497590161209907
20409,2019,Oaxaca,Santa María del Tule,0,0
20519,2019,Oaxaca,Santo Domingo Tomaltepec,0,0
20553,2019,Oaxaca,Tlalixtac de Cabrera,16.666666666666664,11.403508771929824
21015,2019,Puebla,Amozoc,21.62162162162162,12.130157321775927
21034,2019,Puebla,Coronango,5.263157894736842,24.66
21041,2019,Puebla,Cuautlancingo,11.363636363636363,10.410984053713806
21090,2019,Puebla,Juan C. Bonilla,25,0
21114,2019,Puebla,Puebla,10.651828298887123,10.91705397956826
21119,2019,Puebla,San Andrés Cholula,19.047619047619047,0
21125,2019,Puebla,San Gregorio Atzompa,0,0
21140,2019,Puebla,San Pedro Cholula,6.25,15.99736744873453
21156,2019,Puebla,Tehuacán,7.766990291262135,5.890703825450612
22006,2019,Querétaro,Corregidora,9.395973154362416,9.196627674973593
22011,2019,Querétaro,El Marqués,0,NA
22014,2019,Querétaro,Querétaro,10.465116279069768,13.184104770268684
22016,2019,Querétaro,San Juan del Río,2.840909090909091,8.738139248305608
23003,2019,Quintana Roo,Isla Mujeres,17.647058823529413,18.045082134268128
23004,2019,Quintana Roo,Othón P. Blanco,8.783783783783784,23.991383289736884
23005,2019,Quintana Roo,Benito Juárez,16.666666666666664,23.70730386587813
23008,2019,Quintana Roo,Solidaridad,14.285714285714285,8.868016770121924
24013,2019,San Luis Potosí,Ciudad Valles,8.49056603773585,0
24028,2019,San Luis Potosí,San Luis Potosí,10.954616588419405,12.118547390436353
24035,2019,San Luis Potosí,Soledad de Graciano Sánchez,10.24390243902439,11.924894396567613
25001,2019,Sinaloa,Ahome,8.717948717948717,7.677965605989705
25006,2019,Sinaloa,Culiacán,10.515021459227468,13.485177383307215
25012,2019,Sinaloa,Mazatlán,5.244755244755245,6.9536734837634135
26018,2019,Sonora,Cajeme,10.104529616724738,11.635070759000293
26029,2019,Sonora,Guaymas,4.301075268817205,2.364695565021298
26030,2019,Sonora,Hermosillo,12.518628912071536,6.751129676334594
26042,2019,Sonora,Navojoa,10.75268817204301,2.261600593422896
26043,2019,Sonora,Nogales,7.1065989847715745,3.920615812782312
26055,2019,Sonora,San Luis Río Colorado,10.526315789473683,1.371178508478697
27004,2019,Tabasco,Centro,6.614349775784753,10.36286454717451
27013,2019,Tabasco,Nacajuca,12.195121951219512,24.297142857142855
28003,2019,Tamaulipas,Altamira,0,1.0565470599286118
28009,2019,Tamaulipas,Ciudad Madero,5.88235294117647,15.392789292346002
28022,2019,Tamaulipas,Matamoros,6.299212598425196,7.88969024135677
28027,2019,Tamaulipas,Nuevo Laredo,3.2432432432432434,3.0113851650036985
28032,2019,Tamaulipas,Reynosa,5.421686746987952,4.090643264853847
28038,2019,Tamaulipas,Tampico,5.7894736842105265,5.719896640826874
28041,2019,Tamaulipas,Victoria,3.954802259887006,0
29001,2019,Tlaxcala,Amaxac de Guerrero,10,8.691341705221415
29002,2019,Tlaxcala,Apetatitlán de Antonio Carvajal,9.523809523809524,4.467592592592593
29005,2019,Tlaxcala,Apizaco,7.608695652173914,3.4964551270966626
29009,2019,Tlaxcala,Cuaxomulco,0,0
29010,2019,Tlaxcala,Chiautempan,7.547169811320755,4.7510706638115625
29017,2019,Tlaxcala,Mazatecochco de José María Morelos,8.695652173913043,3.6439251411030797
29018,2019,Tlaxcala,Contla de Juan Cuamatzi,3.0303030303030303,0
29022,2019,Tlaxcala,Acuamanala de Miguel Hidalgo,0,0
29023,2019,Tlaxcala,Natívitas,0,0
29024,2019,Tlaxcala,Panotla,23.52941176470588,30.46731123388582
29025,2019,Tlaxcala,San Pablo del Monte,5.208333333333334,7.259856240470485
29026,2019,Tlaxcala,Santa Cruz Tlaxcala,0,35.40874524714829
29027,2019,Tlaxcala,Tenancingo,0,29.978354978354975
29028,2019,Tlaxcala,Teolocholco,10.526315789473683,14.255058246474556
29029,2019,Tlaxcala,Tepeyanco,25,0
29031,2019,Tlaxcala,Tetla de la Solidaridad,7.2727272727272725,11.470911086717893
29032,2019,Tlaxcala,Tetlatlahuca,0,0
29033,2019,Tlaxcala,Tlaxcala,10.655737704918032,11.84676283637194
29035,2019,Tlaxcala,Tocatlán,0,23.71984765129073
29036,2019,Tlaxcala,Totolac,16.666666666666664,12.93498557121032
29038,2019,Tlaxcala,Tzompantepec,13.636363636363635,28.42045934902071
29039,2019,Tlaxcala,Xaloztoc,10,15.04551267584443
29040,2019,Tlaxcala,Xaltocan,0,0
29041,2019,Tlaxcala,Papalotla de Xicohténcatl,11.11111111111111,14.361702127659576
29042,2019,Tlaxcala,Xicohtzinco,20.833333333333336,0
29043,2019,Tlaxcala,Yauhquemehcan,11.904761904761903,21.891798589534943
29044,2019,Tlaxcala,Zacatelco,7.317073170731707,10.360173262920549
29048,2019,Tlaxcala,La Magdalena Tlaltelulco,0,0
29049,2019,Tlaxcala,San Damián Texóloc,0,0
29050,2019,Tlaxcala,San Francisco Tetlanohcan,8.333333333333332,0
29051,2019,Tlaxcala,San Jerónimo Zacualpan,5.263157894736842,0
29053,2019,Tlaxcala,San Juan Huactzinco,0,19.015766841853797
29054,2019,Tlaxcala,San Lorenzo Axocomanitla,0,0
29057,2019,Tlaxcala,Santa Apolonia Teacalco,25,23.076923076923077
29058,2019,Tlaxcala,Santa Catarina Ayometla,7.142857142857142,0
29060,2019,Tlaxcala,Santa Isabel Xiloxoxtla,0,0
30014,2019,Veracruz de Ignacio de la Llave,Amatlán de los Reyes,0,0
30026,2019,Veracruz de Ignacio de la Llave,Banderilla,11.11111111111111,11.76417722656601
30028,2019,Veracruz de Ignacio de la Llave,Boca del Río,0,0
30030,2019,Veracruz de Ignacio de la Llave,Camerino Z. Mendoza,0,0
30039,2019,Veracruz de Ignacio de la Llave,Coatzacoalcos,10.1010101010101,21.452848708595205
30040,2019,Veracruz de Ignacio de la Llave,Coatzintla,23.076923076923077,32.87938742998098
30044,2019,Veracruz de Ignacio de la Llave,Córdoba,10.16949152542373,14.835548616389671
30048,2019,Veracruz de Ignacio de la Llave,Cosoleacaque,0,0
30068,2019,Veracruz de Ignacio de la Llave,Fortín,16.666666666666664,36.49382716049382
30085,2019,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,0,44.44576877234803
30087,2019,Veracruz de Ignacio de la Llave,Xalapa,12.949640287769784,15.581088364173182
30101,2019,Veracruz de Ignacio de la Llave,Mariano Escobedo,0,42.855448831969646
30108,2019,Veracruz de Ignacio de la Llave,Minatitlán,12.5,30.84811832853656
30115,2019,Veracruz de Ignacio de la Llave,Nogales,6.451612903225806,0
30118,2019,Veracruz de Ignacio de la Llave,Orizaba,8.333333333333332,15.269115028582734
30123,2019,Veracruz de Ignacio de la Llave,Pánuco,25,0
30131,2019,Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,13.793103448275861,23.449806949806952
30133,2019,Veracruz de Ignacio de la Llave,Pueblo Viejo,7.142857142857142,16.859037969394684
30135,2019,Veracruz de Ignacio de la Llave,Rafael Delgado,16.666666666666664,22.670405522001726
30138,2019,Veracruz de Ignacio de la Llave,Río Blanco,25,0
30175,2019,Veracruz de Ignacio de la Llave,Tihuatlán,22.22222222222222,12.905043674274443
30182,2019,Veracruz de Ignacio de la Llave,Tlalnelhuayocan,0,0
30189,2019,Veracruz de Ignacio de la Llave,Tuxpan,8.823529411764707,7.293392709196354
30193,2019,Veracruz de Ignacio de la Llave,Veracruz,8.411214953271028,5.175272137952133
31041,2019,Yucatán,Kanasín,10.44776119402985,11.160159716060338
31050,2019,Yucatán,Mérida,12.24764468371467,11.741866503184795
31059,2019,Yucatán,Progreso,5.084745762711865,6.626733445750384
31101,2019,Yucatán,Umán,3.8461538461538463,2.147344374643061
32010,2019,Zacatecas,Fresnillo,2.20125786163522,0
32017,2019,Zacatecas,Guadalupe,5.594405594405594,3.613013698630137
32056,2019,Zacatecas,Zacatecas,4.1558441558441555,4.869855076237972
