mun_inegi,nom_ent,nom_mun,prop_corrup,tema,corrup,tema_total_de_ingresos,capitulo_impuestos,concepto_impuestos_sobre_el_patrimonio,partida_generica_impuesto_predial,partida_generica_adquisicion_de_bienes_inmuebles,concepto_impuesto_sobre_la_produccion_el_consumo_y_las_transacciones,partida_generica_diversiones_y_espectaculos_publicos,concepto_accesorios,concepto_otros_impuestos,capitulo_contribuciones_de_mejoras,concepto_contribucion_de_mejoras_por_obras_publicas,capitulo_derechos,concepto_derechos_por_el_uso_goce_aprovechamiento_o_explotacion_de_bienes_de_dominio_publico,partida_generica_certificaciones_y_constancias,subpartida_generica_certificaciones_y_constancias_diversas,partida_generica_licencias_y_permisos,subpartida_generica_licencias_de_funcionamiento,partida_generica_inspecciones,subpartida_generica_sanidad,partida_generica_uso_y_suministro_de_agua_potable,partida_generica_servicios_de_desarrollo_urbano_y_obras_publicas,subpartida_generica_urbanizacion,partida_generica_diversos_derechos_por_el_uso_goce_aprovechamiento_o_explotacion_de_bienes_de_dominio_publico,concepto_derechos_por_prestacion_de_servicios,partida_generica_panteones,partida_generica_rastros,partida_generica_estacionamientos,partida_generica_seguridad_publica,partida_generica_alumbrado_publico,partida_generica_servicios_de_limpia_y_recoleccion_de_basura,partida_generica_diversos_derechos_por_prestacion_de_servicios,capitulo_productos,concepto_productos_de_tipo_corriente,partida_generica_intereses,concepto_otros_productos,capitulo_aprovechamientos,concepto_aprovechamientos_de_tipo_corriente,partida_generica_recargos,partida_generica_multas,partida_generica_donaciones_y_aprovechamientos_a_favor_del_estado,partida_generica_indemnizaciones_a_favor_del_estado,partida_generica_gastos_de_ejecucion,concepto_otros_aprovechamientos,capitulo_participaciones_federales,concepto_fondos_participables,partida_generica_fondo_general_de_participaciones,partida_generica_fondo_de_fomento_municipal,partida_generica_fondo_de_fiscalizacion,partida_generica_fondo_del_impuesto_sobre_la_renta,concepto_impuestos_participables,partida_generica_impuesto_sobre_automoviles_nuevos,partida_generica_impuesto_especial_sobre_produccion_y_servicios,partida_generica_ieps_gasolinas,concepto_otras_participaciones,partida_generica_participaciones_diversas,concepto_participaciones_estatales,capitulo_aportaciones_federales_y_estatales,concepto_aportaciones_del_ramo_general_33,partida_generica_aportaciones_a_municipios,subpartida_generica_fa_para_la_infraestructura_social_municipal,subpartida_generica_fa_para_el_fortalecimiento_de_los_municipios,concepto_recursos_federales_y_estatales_reasignados,partida_generica_recursos_federales,subpartida_generica_seguridad_publica,subpartida_generica_diversos_recursos_federales_reasignados,capitulo_financiamiento,concepto_deficit,subpartida_generica_comercio_ambulante,subpartida_generica_licencias_y_permisos_diversos,subpartida_generica_por_servicios_de_fraccionamiento,subpartida_generica_diversos_servicios_de_desarrollo_y_obras_publicas,partida_generica_mercados,concepto_otros_derechos,partida_generica_establecimientos_y_empresas,subpartida_generica_establecimientos_diversos,concepto_productos_de_tipo_capital,partida_generica_enajenacion_o_venta_de_bienes,subpartida_generica_bienes_muebles_e_inmuebles,concepto_adicionales,partida_generica_para_educacion,partida_generica_impuestos_adicionales_diversos,partida_generica_registros,subpartida_generica_registro_civil,subpartida_generica_educacion_publica,subpartida_generica_salud,subpartida_generica_comercio_nocivo,partida_generica_servicios_de_vialidad_y_transporte,subpartida_generica_control_vehicular,subpartida_generica_diversos_servicios_de_vialidad_y_de_transporte,partida_generica_reintegros,concepto_emprestitos,partida_generica_emprestitos_diversos,capitulo_otros_ingresos,concepto_otros_ingresos_extraordinarios,partida_generica_loterias_rifas_sorteos_y_juegos_permitidos,partida_generica_otros_impuestos_sobre_la_produccion_el_consumo_y_las_transacciones,partida_generica_para_obras_de_infraestructura_urbana,subpartida_generica_ecologia_e_impacto_ambiental,partida_generica_rezagos,partida_generica_recursos_estatales,subpartida_generica_diversos_recursos_estatales_reasignados,subpartida_generica_licencias_para_construccion,partida_generica_arrendamientos,partida_generica_de_instituciones_bancarias,subpartida_generica_bancos_comerciales,concepto_impuesto_sobre_los_ingresos,partida_generica_ejercicio_de_profesiones_y_honorarios,partida_generica_enajenacion_de_bienes_muebles_y_adquisicion_de_vehiculos,subpartida_generica_banos_publicos,subpartida_generica_expedicion_de_licencias_de_manejo,subpartida_generica_panteones,subpartida_generica_centros_recreativos_y_culturales,partida_generica_actividades_mercantiles,partida_generica_traslado_de_dominio_de_bienes_inmuebles,subpartida_generica_registro_publico_de_la_propiedad_y_del_comercio,partida_generica_diversos_aprovechamientos_de_tipo_corriente,subpartida_generica_registros_diversos,subpartida_generica_talleres_graficos,partida_generica_derechos_zona_federal_maritima,partida_generica_otros_impuestos_sobre_el_patrimonio,subpartida_generica_bienes_muebles,subpartida_generica_bienes_inmuebles,subpartida_generica_educacion,subpartida_generica_asistencia_social,subpartida_generica_inspecciones_diversas,subpartida_generica_mercados,subpartida_generica_obra_publica,partida_generica_explotacion_de_minas,partida_generica_otros_impuestos_sobre_ingresos,partida_generica_anuncios_publicitarios,subpartida_generica_servicios_de_grua_y_almacenaje_de_vehiculos,subpartida_generica_rastros,subpartida_generica_concesiones_para_prestar_servicios_de_transporte,partida_generica_para_fomento_al_turismo
05017,Coahuila de Zaragoza,Matamoros,3.756074792015596,ingresos,1,288970607,25878108,0,0,0,0,0,0,25878108,0,0,16265712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38020,0,0,38020,3315145,0,0,0,0,0,0,3315145,123791811,112646926,77905104,14072916,3483576,17185330,9173772,2254620,2429076,4490076,1971113,1971113,0,119681811,109433044,109433044,34215692,75217352,10248767,10248767,0,10248767,0,0,0,0,0,0,0,16265712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05018,Coahuila de Zaragoza,Monclova,1.4416227092283431,ingresos,0,839956722,151278127,142833661,101873854,0,3798674,265785,0,4645792,0,0,88269025,33901346,12185246,12185246,14152544,0,0,0,0,7563556,0,0,587519,587519,0,0,0,0,0,0,5923698,979260,0,4944438,2918777,2918777,0,2918777,0,0,0,0,363342220,320927402,229586292,48195084,12524556,30621470,23460888,6644352,7158468,9658068,18953930,18953930,0,224103802,183112410,183112410,23559804,159552606,40991392,40991392,0,40991392,0,0,0,0,0,7563556,0,53780160,0,0,0,0,0,0,0,0,0,0,0,0,8393611,0,0,0,0,0,0,4121073,4121073,2050,0,0,0,0,0,0,5758933,979260,0,0,0,0,0,0,0,0,0,3530839,40959807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05022,Coahuila de Zaragoza,Nava,0,ingresos,0,136667024,27139587,27139587,23228063,0,0,0,0,0,642704,642704,18269339,17101755,119205,119205,924577,0,0,0,12496965,3533088,0,0,1167584,8687,0,0,0,0,0,1158897,220794,220794,0,0,5593098,5593098,0,5593098,0,0,0,0,55239991,51133075,39851817,5401572,1301652,4578034,4106916,1169328,1259796,1677792,0,0,0,27829272,27829272,27829272,6635860,21193412,0,0,0,0,1732239,1732239,0,0,0,3533088,0,0,220794,220794,0,0,0,0,0,0,27920,0,0,0,499413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425164,0,0,0,0,0,0,0,0,0,0,0,3911524,27920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05025,Coahuila de Zaragoza,Piedras Negras,3.2385220223646813,ingresos,1,675904946,76212062,0,0,0,0,0,0,76212062,0,0,38765140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4767300,0,0,4767300,21737394,0,0,0,0,0,0,21737394,256719689,235904639,168751704,34291476,10139664,22721795,17282292,4883772,5261652,7136868,3532758,3532758,0,271157987,141135715,141135715,28192322,112943393,130022272,130022272,0,130022272,6545374,6545374,0,0,0,0,0,38765140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05027,Coahuila de Zaragoza,Ramos Arizpe,0,ingresos,0,563036587,244812309,231921881,128786274,0,721037,0,0,12169391,6045664,6045664,39744264,36279610,496388,496388,24178820,0,0,0,15840,4726664,0,0,2042675,78193,0,0,0,0,0,1957582,8672331,7432251,7143488,0,4327438,4327438,0,4197945,129493,0,0,0,176550593,162382570,116281716,35987292,7179948,2933614,11460408,3365268,3625644,4469496,2707615,2707615,0,82883988,79144054,79144054,15057076,64086978,3739934,3739934,0,3739934,0,0,0,0,0,4726664,6900,1421979,6825,6825,1240080,1240080,1240080,0,0,0,6861898,0,0,0,5826355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18352465,281938,0,0,0,0,0,0,0,0,0,721037,103135607,6861898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05030,Coahuila de Zaragoza,Saltillo,3.4096389940950065,ingresos,1,3020082181,645742873,0,0,0,0,0,0,645742873,37539492,37539492,279207843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72331301,0,0,72331301,61395150,61395150,0,0,0,0,0,0,1195015696,1098586917,702300900,154617732,50475852,191192433,75430200,20324976,21897636,33207588,20998579,20998579,0,726513007,676527401,676527401,119016668,557510733,49985606,49985606,0,49985606,0,0,0,0,0,0,0,279207843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336819,2336819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61395150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05035,Coahuila de Zaragoza,Torreón,2.30500633675256,ingresos,1,2717897997,577429051,0,0,0,0,0,0,577429051,36471195,36471195,325985374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13915935,0,0,13915935,81170884,0,0,0,0,0,0,81170884,1065222925,999256081,642291810,172021416,30100860,154841995,65966844,19090272,20567376,26309196,0,0,0,617702633,597895418,597895418,128925760,468969658,19807215,0,19807215,0,0,0,0,0,0,0,0,325985374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19807215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06002,Colima,Colima,2.263646170442287,ingresos,1,777026599,149315577,142919712,107874509,0,848294,848294,6121494,0,0,0,77372142,32500456,3095199,2696458,23748795,162893,0,0,0,4625430,0,0,44172153,3195390,0,58241,0,37390319,3448203,80000,12389887,3357038,1899173,2408748,39649834,32574752,0,7496801,3039436,212511,0,7075082,304656545,288090165,180532636,68312548,8046542,31198439,16566380,2391839,5266273,8908268,0,0,0,161642614,139971532,139971532,32740264,107231268,21671082,21671082,21671082,0,32000000,0,2521807,968406,4625430,0,0,125610,0,0,6624101,6624101,6624101,0,0,0,1031032,0,0,0,12359519,0,0,0,318864,32000000,0,0,0,0,0,0,398741,0,0,0,7736170,1457865,32000000,32000000,0,0,0,0,0,0,0,0,35045203,0,21507140,1031032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06007,Colima,Manzanillo,2.258257808403865,ingresos,1,1126458184,248609372,242092966,203672657,0,295620,295620,6637078,0,0,0,110489839,26229854,4560157,4173598,17581621,883040,0,0,0,4088076,1844031,0,83819707,1645425,1800927,154708,3556114,68639138,7815306,208089,21686089,14060814,11553751,2750934,13805593,9299598,0,6297740,0,4349,0,4505995,533121026,340389399,199508800,74682181,8680350,57518068,19354346,2611250,5787126,10955970,173377281,158107508,0,198746265,177491179,177491179,46156663,131334516,21255086,21255086,21255086,0,0,0,2495444,1631561,2244045,0,0,23986,1071127,0,4874341,4874341,4874341,0,0,0,0,0,0,0,9136039,0,0,0,2997509,0,0,0,0,0,0,0,386559,0,0,0,3435537,1435936,0,0,0,0,0,0,0,0,0,0,38420309,0,0,0,1071127,15269773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06010,Colima,Villa de Álvarez,1.8872628934195133,ingresos,1,548590043,85832342,81077049,60175017,0,630579,630579,4735564,0,0,0,46104386,21366297,1406501,1295977,13321503,0,0,0,0,5437301,1569083,0,24127239,1872987,0,6474,370167,20728234,0,1149377,2331759,1955790,796991,0,15135626,5812821,0,4512415,0,2752,0,9322805,196008682,180769737,123306129,41413401,5982396,10067811,14738442,1745839,5003637,7988966,500503,500503,0,124116712,113933336,113933336,16590178,97343158,10183376,10183376,10183376,0,79060536,61060536,2481530,187934,2995360,872858,0,0,1158799,481500,375969,375969,375969,0,0,0,1200992,320873,0,0,9106949,0,0,0,1297654,18000000,0,0,0,0,0,0,110524,0,0,0,1545090,0,18000000,18000000,0,0,0,0,0,0,19187,0,20902032,145383,0,734736,658112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07027,Chiapas,Chiapa de Corzo,1.0952834162857097,ingresos,0,373802545,20629262,17412316,12534402,0,0,0,0,3216946,1776,1776,8412514,2645640,0,0,2645640,0,0,0,0,0,0,0,5015370,291060,22264,0,0,0,0,0,12473077,2457223,2390813,10015854,550984,550984,0,550984,0,0,0,0,132139362,121492232,103161982,17579510,750740,0,3287147,692220,871498,1723429,7359983,7359983,0,199595570,188524795,188524795,118509658,70015137,11070775,11070775,0,11070775,0,0,489076,0,0,0,4702046,751504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2156564,66410,0,0,0,0,0,0,0,0,0,0,4877914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
