"nom_ent","nom_mun","mun_inegi","anio","pobtot","cs_revenue_perCapita","cs_total_general_fund","cs_intergov_revs_total_revs","cs_propety_tax_total_revs","bs_operating_exp","bs_operating_balance","bs_expenditure_perCapita","lrs_direct_long_term_debt_pobtot","lrs_debt_service_total_rev","mun_tipo","graproes","pea","pe_inac","pocupada","pdesocup","psinder","pder_ss","analf","sbasc","ovsde","ovsee","ovsae","ovpt","vhac","pl.5000","po2sm","im_2020","gm_2020","imn_2020","egresos_total_de_egresos","egresos_servicios_personales","egresos_materiales_y_suministros","egresos_servicios_generales","egresos_transferencias_asignaciones_subsidios_y_otras_ayudas","egresos_bienes_muebles_inmuebles_e_intangibles","egresos_inversion_publica","egresos_deuda_publica","ingresos_total_de_ingresos","ingresos_impuestos","ingresos_contribuciones_de_mejoras","ingresos_derechos","ingresos_productos","ingresos_aprovechamientos","ingresos_participaciones_federales","ingresos_aportaciones_federales_y_estatales","ingresos_financiamiento","egresos_disponibilidad_final","egresos_otros_egresos","ingresos_otros_ingresos","ingresos_disponibilidad_inicial","egresos_inversiones_financieras_y_otras_provisiones","prop_corrup_per17","prop_corrup_inc17","prop_corrup5_inc17","prop_corrup_per19","prop_corrup_inc19","prop_corrup5_inc19","prop_corrup_per21","prop_corrup_inc21","prop_corrup5_inc21"
"Aguascalientes","San Francisco de los Romo","01011",2018,61997,4050.342307,0.267527,0.677425,0.060474,0.655318,1,4050.342307,NA,NA,"urbano",9.21,29512,15953,28926,586,10574,51207,2.358762,28.466145,0.186042,0.318698,0.456207,0.736127,18.507408,41.119732,65.871166,58.552098,"Muy bajo",0.916844,251109072,103113522,37260999,37553717,24706071,6830820,19587870,0,251109072,17030815,0,33319651,2529880,14297998,118394422,65536306,0,22056073,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baja California","Ensenada","02001",2018,443807,4282.50697,0.382309,22.785242,0.107242,33.423619,0.905784,4282.50697,307.935179,0.071905,"metropolitano",10.34,231560,127562,228454,3106,77808,363941,2.287974,25.243932,0.346372,1.410374,4.574525,1.717626,13.80882,13.570088,79.431857,58.082238,"Muy bajo",0.909487,1900606571,1196613296,120218453,243036607,75297071,16968552,111808804,136663788,1900606571,347554270,0,216372291,537513,93695223,594056611,469322476,179068187,0,0,0,0,0,46.30363126456877,13.829787234042554,11.70609372660578,NA,NA,NA,NA,NA,NA
"Baja California","Mexicali","02002",2018,1049792,3888.713136,0.374091,3.327783,0.157252,4.072952,1,3888.713136,143.384703,0.036872,"metropolitano",10.53,548784,311290,540835,7949,190666,854633,1.618303,21.501444,0.155113,0.396584,0.676314,1.226287,12.588088,11.394543,69.895625,59.384989,"Muy bajo",0.929886,4082339940,2471937935,254523530,389443026,172038302,62785164,268841831,150524114,4082339940,896200602,0,374141768,72919802,178321420,1693599255,852233790,0,312186482,59556,14923303,0,0,45.72945558851985,15.053763440860216,16.336258349805505,NA,NA,NA,NA,NA,NA
"Baja California","Tecate","02003",2018,108440,5431.31931,0.270785,2.460694,0.058489,3.094778,0.846776,5431.31931,509.903421,0.093882,"urbano",9.79,52804,30333,52095,709,19715,83697,1.950224,27.296465,0.336796,0.974163,3.234807,1.635123,14.014967,20.404832,74.024713,58.390077,"Muy bajo",0.914307,588972266,370762933,29775031,56856355,22327915,9714778,44241327,55293927,588972266,88379551,34634,38403557,3096463,5133930,218088525,145591031,90244575,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baja California","Tijuana","02004",2018,1922523,3796.127266,0.354194,9.046001,0.146893,10.203629,1,3796.127266,143.011939,0.037673,"metropolitano",10.18,1051417,501232,1038460,12957,481326,1426523,1.46975,24.583879,0.1561,0.184237,1.159385,2.147023,14.972565,1.704115,74.592469,59.140287,"Muy bajo",0.926055,7298141980,3725957149,751624481,837515515,398688228,141946252,664200745,274943742,7298141980,1716897380,0,493759774,56574970,317127951,3032353160,1679732166,0,502777923,487945,1696579,0,0,57.31107630056391,7.495429616087751,14.551251304912114,NA,NA,NA,NA,NA,NA
"Baja California","Playas de Rosarito","02005",2018,126890,4436.144779,0.443324,3.043493,0.178585,4.13225,1,4436.144779,224.592316,0.050628,"urbano",9.58,67128,35929,66033,1095,35648,90212,2.029172,29.737132,0.313293,0.443461,5.010253,2.686312,15.409605000000001,15.755379,72.773426,58.291417,"Muy bajo",0.912762,562902411,294186817,35636174,93561604,41938134,10929079,27265399,28498519,562902411,171002922,1743572,52601401,10770473,12217320,178091807,133740275,0,8634185,22252500,2734641,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baja California Sur","Comondú","03001",2018,73021,8634.592624,0.070211,18.025202,0.037398,12.436838,1,8634.592624,98.213665,0.011374,"urbano",9.27,35847,22950,35399,448,8554,64371,4.083671,32.330206,0.520638,1.291182,1.552196,2.940564,16.135603,19.639556,62.554511,58.263823,"Muy bajo",0.91233,630506588,339504125,35647231,28167759,27009906,0,187381148,7171660,630506588,26098219,0,8084929,2335211,7622227,314607145,269939202,0,5624759,0,1819655,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baja California Sur","Mulegé","03002",2018,64022,6280.059979,0.121238,2.488054,0.059526,2.356552,1,6280.059979,127.393708,0.020285,"urbano",9.13,33050,16981,32637,413,9591,54272,4.153327,33.588849,1.037092,2.176596,2.928495,3.276849,21.225063,39.317735,55.325932,57.492567,"Muy bajo",0.900254,402062000,274845000,23244000,36554000,5091000,1931000,41943000,8156000,402062000,26345000,0,9908000,5080000,7412000,179009000,174308000,0,10298000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baja California Sur","La Paz","03003",2018,292241,4681.075195,0.287106,0.843108,0.140553,0.987722,0.945832,4681.075195,94.495331,0.020187,"metropolitano",11.07,154830,84914,152265,2565,41161,249591,1.783446,19.888742,0.436283,1.077344,2.36889,2.106201,11.964861,9.818609,48.345112,59.853253,"Muy bajo",0.937219,1368002096,747026079,113949389,219653015,64868940,0,194889263,27615410,1368002096,281225577,0,76145449,3935667,10180279,376300656,546112105,74102363,0,0,0,0,0,43.31503220392109,9.615384615384617,13.828985997325503,NA,NA,NA,NA,NA,NA
"Baja California Sur","Los Cabos","03008",2018,351111,6194.305505,0.580767,6.263601,0.365703,11.446272,1,6194.305505,110.254361,0.017799,"metropolitano",10.17,194484,77592,191248,3236,67586,280254,2.122148,23.944656,0.243318,0.584838,9.289442,8.351669,24.588451,3.455318,38.13878,58.735727,"Muy bajo",0.91972,2174888800,872351436,257636335,536231800,177088688,103259405,131677616,38711519,2174888800,881468361,0,210225416,66362840,105047503,546563458,365221222,0,57932001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
