"nom_ent","nom_mun","mun_inegi","anio","pobtot_mun","cs_revenue_perCapita","cs_total_general_fund","cs_intergov_revs_total_revs","cs_propety_tax_total_revs","bs_operating_exp","bs_operating_balance","bs_expenditure_perCapita","lrs_direct_long_term_debt_pobtot","lrs_debt_service_total_rev","mun_tipo","graproes_mun","per_pea_mpio","per_pea_edo","per_desocupada_mpio","per_desocupada_edo","imn_2020_mpio","ime_2020_edo","po2sm","pder_ss","pea","pe_inac","pocupada","pdesocup","psinder","analf","sbasc","ovsde","ovsee","ovsae","ovpt","vhac","pl.5000","im_2020","gm_2020","egresos_total_de_egresos","egresos_servicios_personales","egresos_materiales_y_suministros","egresos_servicios_generales","egresos_transferencias_asignaciones_subsidios_y_otras_ayudas","egresos_bienes_muebles_inmuebles_e_intangibles","egresos_inversion_publica","egresos_deuda_publica","egresos_inversiones_financieras_y_otras_provisiones","ingresos_total_de_ingresos","ingresos_impuestos","ingresos_contribuciones_de_mejoras","ingresos_derechos","ingresos_productos","ingresos_aprovechamientos","ingresos_participaciones_federales","ingresos_aportaciones_federales_y_estatales","ingresos_financiamiento","egresos_disponibilidad_final","egresos_otros_egresos","ingresos_otros_ingresos","ingresos_disponibilidad_inicial","prop_corrup_percepcion","prop_corrup_incidencia","prop_corrup_incidencia_5años","pib_edo","graproes_edo","pobtot_edo","pib_percapita_edo"
"Coahuila de Zaragoza","Matamoros",5017,2018,118337,2176.709677,0.136576,2.25044,"NA",2.033739,0.994224,2176.709677,"56.148634999999999","2.5794999999999998E-2",2,9.16,0.4573886442955289,61.050000000000004,0.009692657410615447,4.1418587225,0.911024,0.829436152,69.962863,90602,54126,38152,52979,1147,27593,3.099693,30.317323,0.788392,0.108744,0.865702,1.415367,17.75638,41.713074,58.1804,"Muy bajo",257585293,116301429,29219907,54306930,12444675,707690,37960201,6644461,0,257585293,18477147,0,13610606,181582,2707524,100987176,120133394,1487864,0,0,0,0,61.713223524552,1.66666666666666,NA,608138.802,10.26125,2501131,0.24314552176595308
"Coahuila de Zaragoza","Monclova",5018,2018,237951,3215.047169,0.287956,5.210278,"0.16761599999999999",4.120033,0.984339,3215.047169,"45.539724999999997","1.4165000000000001E-2",3,10.86,0.45619896533319887,61.050000000000004,0.01541914091556665,4.1418587225,0.946983,0.829436152,51.693781,200448,108553,80188,104884,3669,37049,1.185581,18.520082,0.109535,0.178201,0.56242,0.41456,13.326067,0.328639,60.47683,"Muy bajo",765023689,215144197,95683567,113172472,56959982,34210595,239016653,10836223,0,765023689,133411621,0,70567298,10701227,2163337,311242756,224956577,11980873,0,0,0,0,49.5983501164848,6.42201834862385,1.95272353545734,608138.802,10.26125,2501131,0.24314552176595308
"Coahuila de Zaragoza","Piedras Negras",5025,2018,176327,3578.072694,0.202976,0.580202,"0.12834599999999999",0.436635,1,3578.072694,"63.718659000000002","1.7808000000000001E-2",3,10.1,0.480629739064352,61.050000000000004,0.009023008387824893,4.1418587225,0.928129,0.829436152,76.829097,141061,84748,52572,83157,1591,34827,1.422786,22.826164,0.106026,0.157606,0.354183,0.519845,15.657859,1.342959,59.272756,"Muy bajo",630910824,166716442,2561021,209146568,57336107,8996947,119352868,11235320,0,630910824,82399424,0,29627460,1526444,14506538,225726802,277124156,0,55565551,0,0,0,47.6499315514044,9.52380952380952,20.1755814469924,608138.802,10.26125,2501131,0.24314552176595308
"Coahuila de Zaragoza","Ramos Arizpe",5027,2018,122243,4261.206081,0.422985,0.489061,"0.133023",0.478485,1,4261.206081,"51.375808999999997","1.2057E-2",2,10.43,0.4928543965707648,61.050000000000004,0.011976145873383344,4.1418587225,0.9421,0.829436152,55.038102,102099,60248,33855,58784,1464,19963,1.683452,17.99654,0.221904,0.19458,0.813924,0.58541,12.948509,6.734946,60.165009,"Muy bajo",520902615,115074923,56288566,122618770,95311857,11339848,77910148,6280333,0,520902615,167260731,5452046,36550024,5812477,5193404,154862736,145617339,0,36078170,0,153858,0,46.0376434083207,7.89473684210526,2.9018513076697,608138.802,10.26125,2501131,0.24314552176595308
"Coahuila de Zaragoza","Saltillo",5030,2018,879958,3226.587486,0.34168,18.296025,"0.202518",16.405763,1,3226.587486,"NA","NA",3,11.02,0.4818536793801522,61.050000000000004,0.009961839087774644,4.1418587225,0.951065,0.829436152,47.024604,734036,424011,266173,415245,8766,142342,1.258067,16.410036,0.123954,0.084957,0.851759,0.533153,11.883467,1.764516,60.737504,"Muy bajo",2839261471,978052094,230121715,467857362,347641073,112260151,572834675,0,0,2839261471,588823129,28831250,241915914,53081470,57467253,1040961260,828181145,0,86637855,43856546,50,0,49.0114557949204,4.95626822157434,5.79823311857185,608138.802,10.26125,2501131,0.24314552176595308
"Coahuila de Zaragoza","Torreón",5035,2018,720848,3391.325816,0.3513,27.833412,"6.9718000000000002E-2",30.985587,0.995512,3391.325816,"44.144713000000003","1.3017000000000001E-2",3,11.12,0.49699243113666125,61.050000000000004,0.010987059685259584,4.1418587225,0.944033,0.829436152,59.57276,560855,358256,217145,350336,7920,158116,1.242491,19.254617,0.106708,0.047564,0.189841,0.913159,9.894757,4.25263,60.288421,"Muy bajo",2444630432,793197670,128706906,778305087,343023437,83637313,285938391,31821628,0,2444630432,427371128,31796316,304253825,1528064,62122348,940357978,586888717,10971495,0,0,79340561,0,58.8896910904919,15.1470588235294,15.6656529076717,608138.802,10.26125,2501131,0.24314552176595308
"Colima","Colima",6002,2018,157048,4556.391969,0.357701,2.100888,"0.13475300000000001",2.106863,1,4556.391969,"46.216673","1.0142999999999999E-2",3,10.83,0.5241900565432225,66.725,0.00913733380877184,3.25214915,0.935933,0.792155673,58.773871,128516,82323,47910,80888,1435,27906,2.385068,23.718145,0.176788,0.327674,0.483092,1.61658,11.657311,6.42033,59.771176,"Muy bajo",715572246,337078179,29664352,94176048,159243479,3778708,68025646,7258236,0,715572246,134545554,0,80786517,23663694,16965074,289079930,170531477,0,15745674,601924,0,0,45.331415672118,9.07127429805615,13.1403320268163,105031.02999999997,10.833333333333334,497841,0.2109730415936011
"Colima","Manzanillo",6007,2018,191031,5727.142778,0.420594,6.217614,"0.161215",6.856262,1,5727.142778,"291.05996900000002","5.0820999999999998E-2",3,10.11,0.5313064371751182,66.725,0.007166376137904319,3.25214915,0.935676,0.792155673,50.694127,159810,101496,51750,100127,1369,30556,2.437616,25.496021,0.186042,0.220826,0.483815,1.699382,16.004168,11.262046,59.754741,"Muy bajo",1094061812,569103075,42883322,87031563,169807673,16951740,44278364,55601477,0,1094061812,216755977,0,86164942,87921787,69313337,443237922,190667847,0,108243598,161000,0,0,41.2857791016511,7.15883668903803,11.6873868795062,105031.02999999997,10.833333333333334,497841,0.2109730415936011
"Colima","Villa de Álvarez",6010,2018,149762,3230.54399,0.309491,2.487032,"0.121281",2.736297,0.897051,3230.54399,"551.57215399999995","0.170737",2,11.56,0.548143053645117,66.725,0.009181234224970285,3.25214915,0.947535,0.792155673,55.300216,122148,82091,40113,80716,1375,27092,1.318632,16.655345,0.06906,0.160246,0.158905,0.978966,10.228133,1.513067,60.512092,"Muy bajo",483812729,258035930,17692967,53991767,46433479,6255489,18798548,82604549,0,483812729,81398567,0,43638911,3997344,5285610,190575818,109108662,49807817,0,0,0,0,43.1225424082974,8,14.6380055022593,105031.02999999997,10.833333333333334,497841,0.2109730415936011
"Chiapas","Chiapa de Corzo",7027,2018,112075,2612.343118,0.109007,0.569962,"5.8394000000000001E-2",0.238215,1,2612.343118,"16.383216999999998","6.2709999999999997E-3",2,8.9,0.46467990185143876,53.425000000000004,0.008967209457952265,2.782937115,0.861804,0.441420071,80.872948,64217,52079,33872,51074,1005,47452,9.106157,37.205134,1.024167,0.627078,7.110772,6.112658,33.03281,42.964087,55.037093,"Bajo",292778355,50243561,21725274,33915959,24986813,6897173,136446042,1836149,0,292778355,19235352,4566,3847777,7391642,515540,87207134,166136607,0,16727384,0,8439737,0,46.5512661590224,13.953488372093,20.1802715091678,267664.128,9.6675,1285802,0.20816900891428075
